	hrf_0	hrf_1	hrf_2	hrf_3	hrf_4	hrf_5	hrf_6	hrf_7	hrf_8	hrf_9	hrf_10	hrf_11	hrf_12	hrf_13	hrf_14	hrf_15	hrf_16	hrf_17	hrf_18	hrf_19
27.700000000000003	4.803901391263095e-08	2.9977284759889975e-08	3.417760490807545e-08	-7.600334065446741e-06	-0.0014135265263340692	-0.008119198522300928	-0.01808031818429232	-0.0278215456368087	-0.03185925788747219	-0.032184230632306673	-0.029858317685919563	-0.02626765906861081	-0.02270723335756329	-0.018223477805407867	-0.014913143601162152	-0.011827226580145775	-0.008632145241198173	0.00031737988033542366	0.0012404967900643893	0.0026327849407226907
27.8	4.424781914072937e-08	2.7515655709165073e-08	3.150381060504399e-08	-7.133582610020121e-06	-0.0013728562346118712	-0.007981199254165303	-0.017876166925771837	-0.02761282603208898	-0.03158920637554369	-0.03180864704931867	-0.029378880627312212	-0.025732146679506792	-0.02216838410521482	-0.017733395713157105	-0.014508008527631107	-0.011530689129165985	-0.0085062805245252	0.0003039142611167662	0.0011984859186014024	0.0025543926264168727
27.900000000000002	4.075443752700318e-08	2.525499854260762e-08	2.9033105229051853e-08	-6.695181283683478e-06	-0.0013333215467399599	-0.00784540335091939	-0.01767407515883724	-0.027405431991920536	-0.03132048482186987	-0.0314352884075286	-0.028903609361508313	-0.025203016027962592	-0.0216372917721366	-0.017251505088917284	-0.014109391964563248	-0.011237905350463128	-0.008379795725877456	0.0002910126301578156	0.001157887767097481	0.0024783188220932127
28.0	3.753559505761973e-08	2.3179019678360647e-08	2.675071764800313e-08	-6.283429777858165e-06	-0.0012948920210779683	-0.00771177920279682	-0.017474026924560827	-0.02719935888943724	-0.031053105104368803	-0.03106419480885481	-0.028432576638804802	-0.02468035674793954	-0.02111405097410997	-0.016777894921906542	-0.013717398716039048	-0.010948998583353598	-0.008252798415403587	0.0002786516117369239	0.0011186552533480288	0.0024044955557352785
28.1	3.456982602662476e-08	2.12727350496132e-08	2.464287919575886e-08	-5.896728268171454e-06	-0.0012575379850082908	-0.007580295559453818	-0.017276006282392294	-0.026994602041305982	-0.030787078630279116	-0.030695404716265036	-0.02796585100148625	-0.024164250795112818	-0.02059874558213704	-0.016312641237735577	-0.013332121226859357	-0.01066408259383314	-0.008125393303741747	0.0002668087868358902	0.0010807428460446937	0.0023328568245971843
28.200000000000003	3.183733347368776e-08	1.9522366049299864e-08	2.2696763801414693e-08	-5.5335715788903255e-06	-0.0012212305172900953	-0.007450921528596222	-0.017079997313121178	-0.026791156709608993	-0.030522416344058438	-0.0303289549793739	-0.027503496862803928	-0.02365477263307729	-0.020091449031647526	-0.015855807527899626	-0.01295363995972223	-0.010383261786792254	-0.007997682214623922	0.0002554626546082818	0.0010441065144877703	0.00226333853909334
28.3	2.931986030809365e-08	1.7915243615299718e-08	2.0900430710384808e-08	-5.192543679164543e-06	-0.0011859414307482969	-0.007323626574514378	-0.016885984121749527	-0.02658901810368793	-0.030259128735215798	-0.029964880860162253	-0.02704557458692231	-0.023151989421724105	-0.019592224635000204	-0.015407445183457196	-0.01258202377937736	-0.010106631427573318	-0.007869764062133685	0.0002445925953671219	0.0010087036798933032	0.0021958784682478737
28.400000000000002	2.7000570308685507e-08	1.643971983348578e-08	1.9242769818669587e-08	-4.872312492702116e-06	-0.0011516432552939775	-0.007198380516530214	-0.016693950840274335	-0.02638818138195193	-0.029997225846073953	-0.029603216058804956	-0.026592140569721364	-0.022655961207393372	-0.01910112589653134	-0.014967593931712018	-0.012217330342459535	-0.009834277871885004	-0.007741734832538152	0.00023417883503374956	0.0009744931682459678	0.002130416186662018
28.5	2.4863938250126427e-08	1.50850864819726e-08	1.7713449616973107e-08	-4.571625003484365e-06	-0.0011183092212727322	-0.007075153527360161	-0.016503881630383722	-0.026188641653648544	-0.02973671727946538	-0.029243992739578905	-0.026143247320331315	-0.02216674111447106	-0.018618196829455567	-0.014536282274745224	-0.011859606491772187	-0.009566278803130825	-0.007613687570590401	0.00022420241099180047	0.0009414351646502173	0.0020668930229588473
28.6	2.28956484620501e-08	1.3841499982697149e-08	1.6302867720850066e-08	-4.289302641060794e-06	-0.0010859132431374438	-0.006953916131398349	-0.016315760686067285	-0.025990393980599477	-0.029477612206357064	-0.028887241556839013	-0.025698943543292364	-0.021684375538064973	-0.01814347227393776	-0.014113527928733363	-0.011508888653848387	-0.009302703476228052	-0.007485712370202945	0.0002146451392923332	0.0009094911691336211	0.002005252009665787
